annee;coordonnees;dep;depcom;libcom;naissances;reg
"2013";"48.6829849086, 4.27703317765";"10";"10293";"Poivres";"4";"21";"NaN"
"2007";"49.1906741242, -1.455142605519999";"50";"50328";"Millières";"9";"25";"NaN"
"2008";"48.1252290684, 4.67939293455";"10";"10076";"Champignol-lez-Mondeville";"4";"21";"NaN"
"2008";"49.3221921843, -1.388168799739999";"50";"50136";"Coigny";"2";"25";"NaN"
"2006";"48.4575603934, 3.5070361262";"10";"10153";"Fontaine-Mâcon";"3";"21";"NaN"
"2011";"49.1953005849, -1.37598924689";"50";"50552";"Saint-Sébastien-de-Raids";"2";"25";"NaN"
"2012";"43.4072581456, 1.94393147936";"11";"11292";"La Pomarède";"3";"91";"NaN"
"2003";"48.661573623, -1.37225712194";"50";"50616";"Le Val-Saint-Père";"23";"25";"NaN"
"2010";"49.5990015094, -1.7918666797";"50";"50620";"Vasteville";"15";"25";"NaN"
"2008";"46.8586081976, 5.8248269042";"39";"39116";"La Châtelaine";"1";"43";"NaN"
"2005";"48.6458789827, 4.60054022663";"51";"51017";"Arzillières-Neuville";"3";"21";"NaN"
"2005";"48.2664350425, -1.864147561629999";"35";"35058";"La Chapelle-Chaussée";"24";"53";"NaN"
"2009";"46.7559659836, 3.51003237912";"58";"58087";"Cossaye";"10";"26";"NaN"
"2009";"46.5931498881, 0.963558213736";"36";"36087";"Ingrandes";"3";"24";"NaN"
"2010";"50.0926261924, 3.27595747456";"59";"59341";"Lesdain";"9";"31";"NaN"
"2003";"48.5311376904, -1.57392395573";"35";"35222";"Pleine-Fougères";"18";"53";"NaN"
"2010";"50.4153161017, 2.06205464514";"62";"62872";"Wamin";"3";"31";"NaN"
"2007";"48.3796845502, -1.492903818349999";"35";"35244";"Romazy";"8";"53";"NaN"
"2005";"50.5345389344, 2.14734408463";"62";"62790";"Senlis";"3";"31";"NaN"
"2005";"48.6391173168, 0.752904500205";"61";"61429";"Saint-Maurice-lès-Charencey";"8";"25";"NaN"
"2003";"45.4240567135, 3.24088300911";"63";"63456";"Vichel";"2";"83";"NaN"
"2010";"48.8319872895, 0.428759391602";"61";"61434";"Saint-Nicolas-des-Laitiers";"2";"25";"NaN"
"2008";"46.4288360203, 5.26003405676";"01";"01029";"Beaupont";"7";"82";"NaN"
"2012";"48.4936450518, -0.634587693157";"61";"61075";"Ceaucé";"14";"25";"NaN"
"2009";"45.9184267932, 4.82747423402";"01";"01285";"Parcieux";"10";"82";"NaN"
"2008";"48.3206311258, 0.642420415108999";"61";"61379";"Saint-Cyr-la-Rosière";"2";"25";"NaN"
"2013";"49.9252841672, 3.36796234214";"02";"02323";"Fontaine-Uterte";"5";"22";"NaN"
"2010";"48.5404326393, 0.242237703533";"61";"61156";"Essay";"5";"25";"NaN"
"2012";"49.1164230809, 3.26303714363";"02";"02225";"Courchamps";"2";"22";"NaN"
"2012";"50.4986573015, 2.28398463259";"62";"62342";"Fontaine-lès-Boulans";"3";"31";"NaN"
"2004";"42.9370852126, 2.96042838757";"11";"11086";"Caves";"3";"91";"NaN"
"2009";"50.1926802634, 2.75913608882";"62";"62146";"Boiry-Saint-Martin";"5";"31";"NaN"
"2013";"43.2758588523, 2.87717593442";"11";"11164";"Ginestas";"7";"91";"NaN"
"2011";"50.4836257391, 2.11590995942";"62";"62726";"Ruisseauville";"4";"31";"NaN"
"2010";"50.1213705437, 2.59867218191";"62";"62733";"Sailly-au-Bois";"8";"31";"NaN"
"2011";"43.3934090766, 2.40300635339";"11";"11180";"Labastide-Esparbairenque";"0";"91";"NaN"
"2006";"50.362470832, 2.94589813108";"62";"62476";"Izel-lès-Équerchin";"6";"31";"NaN"
"2011";"44.5694224223, 2.68750805663";"12";"12098";"Estaing";"1";"73";"NaN"
"2007";"50.5614379612, 2.48197499021";"62";"62516";"Lillers";"122";"31";"NaN"
"2008";"43.1266480601, 2.12787543715";"11";"11061";"Cambieure";"5";"91";"NaN"
"2005";"50.2927140041, 2.62902405219";"62";"62586";"Montenescourt";"3";"31";"NaN"
"2013";"44.2930906891, 2.30836294143";"12";"12059";"Castanet";"2";"73";"NaN"
"2007";"50.9318131132, 2.0456999898";"62";"62623";"Nouvelle-Église";"12";"31";"NaN"
"2008";"42.9921607802, 2.9297362776";"11";"11322";"Roquefort-des-Corbières";"5";"91";"NaN"
"2013";"44.225497867, 2.1468963703";"12";"12128";"Lescure-Jaoul";"3";"73";"NaN"
"2012";"47.0914736081, 1.8594546964";"36";"36122";"Meunet-sur-Vatan";"4";"24";"NaN"
"2011";"50.3091545259, 3.02186108116";"62";"62627";"Noyelles-sous-Bellonne";"11";"31";"NaN"
"2012";"48.3560951211, -1.81258742693";"35";"35233";"Québriac";"17";"53";"NaN"
"2007";"48.3974434735, -1.26442564597";"35";"35273";"Saint-Germain-en-Coglès";"33";"53";"NaN"
"2013";"43.5728727057, 3.48660359956";"34";"34313";"Tressan";"3";"91";"NaN"
"2006";"43.3612997539, -0.890276104739";"64";"64531";"Tabaille-Usquain";"0";"72";"NaN"
"2010";"46.0002799003, -0.966249355235";"17";"17065";"Breuil-Magné";"12";"54";"NaN"
"2006";"43.4734148077, -0.470945656971999";"64";"64318";"Larreule";"2";"72";"NaN"
"2013";"46.1876266957, -0.870885218412999";"17";"17186";"Le Gué-d'Alleré";"16";"54";"NaN"
"2005";"47.2622294774, 2.64819893365";"18";"18111";"Humbligny";"0";"24";"NaN"
"2011";"43.2732972829, -0.35479385766";"64";"64373";"Mazères-Lezons";"14";"72";"NaN"
"2011";"47.0934510675, 2.52827991158";"18";"18158";"Moulins-sur-Yèvre";"13";"24";"NaN"
"2011";"47.1833400465, 1.94119668443";"18";"18085";"Dampierre-en-Graçay";"5";"24";"NaN"
"2010";"47.0315698276, 2.08940222035";"18";"18182";"Poisieux";"6";"24";"NaN"
"2011";"43.1867597741, 0.101493602864";"65";"65401";"Salles-Adour";"6";"73";"NaN"
"2011";"43.3910708794, 0.0554734768116";"65";"65460";"Vic-en-Bigorre";"32";"73";"NaN"
"2010";"42.6518506927, 2.83475138204";"66";"66038";"Canohès";"39";"91";"NaN"
"2004";"42.5679910483, 2.482086621829999";"66";"66073";"Estoher";"3";"91";"NaN"
"2004";"47.4372947607, 4.49901520895";"21";"21024";"Arnay-sous-Vitteaux";"0";"26";"NaN"
"2012";"47.2386657395, 4.95610732845";"21";"21110";"Brochon";"5";"26";"NaN"
"2004";"42.8207156581, 0.415397234999";"65";"65171";"Estarvielle";"0";"73";"NaN"
"2007";"45.3170286253, 5.5223348378";"38";"38566";"Vourey";"11";"82";"NaN"
"2004";"45.2632599727, 1.670355124159999";"19";"19082";"Favars";"15";"74";"NaN"
"2013";"45.0680531923, 6.05570708995";"38";"38177";"La Garde";"1";"82";"NaN"
"2005";"47.0776286494, 5.2762318698";"21";"21356";"Losne";"23";"26";"NaN"
"2009";"48.1516102771, 5.07446482114";"52";"52251";"Jonchery";"14";"21";"NaN"
"2009";"48.3653621373, -2.91178425275";"22";"22099";"Lanfains";"22";"53";"NaN"
"2003";"49.3296687157, 3.95052532169";"51";"51633";"Villers-Franqueux";"3";"21";"NaN"
"2013";"48.5946127518, -2.33355800652";"22";"22174";"Pléboulle";"3";"53";"NaN"
"2005";"48.8677969763, 4.39336523723";"51";"51339";"Mairy-sur-Marne";"3";"21";"NaN"
"2005";"48.4185427687, -3.55150480178";"22";"22231";"Plourac'h";"1";"53";"NaN"
"2013";"48.6108539647, -3.57279775883";"22";"22238";"Plufur";"2";"53";"NaN"
"2003";"47.670003344, 4.25730473718";"21";"21530";"Rougemont";"1";"26";"NaN"
"2013";"47.389027921, 4.68824509954";"21";"21552";"Saint-Hélier";"0";"26";"NaN"
"2013";"46.0616676024, 3.09345321573";"63";"63082";"Champs";"3";"83";"NaN"
"2007";"45.7440562611, 2.12615175724";"23";"23080";"Féniers";"0";"74";"NaN"
"2011";"50.8883355248, 1.68248567418";"62";"62899";"Wissant";"4";"31";"NaN"
"2011";"45.5150974832, 0.530385430073";"24";"24131";"Connezac";"1";"72";"NaN"
"2007";"50.9450043366, 2.1009180306";"62";"62766";"Saint-Omer-Capelle";"27";"31";"NaN"
"2005";"45.1363136207, 1.23246240823";"24";"24229";"Le Lardin-Saint-Lazare";"17";"72";"NaN"
"2007";"46.0248498581, 3.09894573011";"63";"63181";"Jozerand";"7";"83";"NaN"
"2007";"46.2109887646, 1.9959623106";"23";"23002";"Ajain";"6";"74";"NaN"
"2008";"45.7273657826, 2.65962165368";"63";"63433";"Tortebesse";"0";"83";"NaN"
"2007";"48.5509217232, 3.562035391";"10";"10031";"Barbuise";"4";"21";"NaN"
"2013";"46.4414393381, 0.537436523079";"86";"86094";"Dienné";"15";"54";"NaN"
"2010";"48.3707952955, -4.650000505579999";"29";"29130";"Locmaria-Plouzané";"49";"53";"NaN"
"2005";"46.4393119039, -0.947017086151";"85";"85121";"Le Langon";"10";"52";"NaN"
"2006";"48.4938327293, -4.41894214636";"29";"29160";"Plabennec";"100";"53";"NaN"
"2007";"46.5686332748, -1.70787622288";"85";"85250";"Saint-Mathurin";"29";"52";"NaN"
"2006";"46.6179795025, -1.24888057642";"85";"85291";"Thorigny";"29";"52";"NaN"
"2009";"47.1693297526, 6.169893852379999";"25";"25569";"Trépot";"3";"43";"NaN"
"2010";"47.236235248, 5.88394107726";"25";"25593";"Vaux-les-Prés";"1";"43";"NaN"
"2004";"45.5533573947, -0.405979459811";"17";"17192";"Jarnac-Champagne";"2";"54";"NaN"
"2005";"42.2881585012, 9.24928255053";"2B";"2B110";"Favalello";"0";"94";"NaN"
"2012";"42.4476687598, 9.25468558646";"2B";"2B169";"Morosaglia";"7";"94";"NaN"
"2009";"45.7749267656, -0.892730905106999";"17";"17330";"Sainte-Gemme";"21";"54";"NaN"
"2003";"45.5224276512, -0.356868114482";"17";"17355";"Sainte-Lheurine";"5";"54";"NaN"
"2004";"45.410632637, 1.36145818193";"19";"19011";"Arnac-Pompadour";"16";"74";"NaN"
"2007";"44.9808198297, 1.82767287912";"19";"19019";"Beaulieu-sur-Dordogne";"9";"74";"NaN"
"2012";"45.328176854, 1.40068283398";"19";"19286";"Vignols";"5";"74";"NaN"
"2012";"48.3938578197, -4.12922038869";"29";"29294";"Le Tréhou";"10";"53";"NaN"
"2007";"45.5473595192, 1.9000182869";"19";"19087";"Gourdon-Murat";"1";"74";"NaN"
"2010";"45.1101297922, 1.45969694671";"19";"19117";"Lissac-sur-Couze";"9";"74";"NaN"
"2007";"47.562852584, 2.33055121422";"18";"18067";"Clémont";"7";"24";"NaN"
"2013";"47.9506169361, 5.30859356776";"52";"52432";"Rolampont";"10";"21";"NaN"
"2011";"46.8245784906, 2.91377950744";"18";"18242";"Sancoins";"35";"24";"NaN"
"2008";"49.4211588157, 5.52020012648";"54";"54236";"Grand-Failly";"3";"41";"NaN"
"2013";"48.2677488568, -0.185983201964999";"53";"53223";"Saint-Germain-de-Coulamer";"3";"52";"NaN"
"2005";"45.6764768852, -0.789153508281";"17";"17445";"Thézac";"5";"54";"NaN"
"2010";"46.0698805334, -0.514998278543";"17";"17464";"Vergné";"1";"54";"NaN"
"2010";"47.5214378007, 4.44456513";"21";"21448";"Mussy-la-Fosse";"2";"26";"NaN"
"2006";"47.5980519223, 4.28133138948";"21";"21550";"Saint-Germain-lès-Senailly";"0";"26";"NaN"
"2009";"47.3458158582, 4.65536994421";"21";"21563";"Saint-Mesmin";"0";"26";"NaN"
"2010";"47.0569877471, 4.529383808409999";"21";"21566";"Saint-Pierre-en-Vaux";"3";"26";"NaN"
"2005";"47.2262535872, 5.05001697299";"21";"21586";"Saulon-la-Rue";"3";"26";"NaN"
"2010";"47.435689036, 5.24044596193";"21";"21682";"Viévigne";"4";"26";"NaN"
"2012";"47.1468951211, 4.56864595469";"21";"21216";"Culètre";"1";"26";"NaN"
"2004";"50.2380889989, 2.38095249535";"62";"62475";"Ivergny";"5";"31";"NaN"
"2011";"48.1936252026, -2.39598361343";"22";"22147";"Merdrignac";"22";"53";"NaN"
"2005";"45.1003503966, 0.363141785914";"24";"24032";"Beauronne";"2";"72";"NaN"
"2011";"43.9964171524, 3.9209656443";"30";"30119";"Fressac";"1";"91";"NaN"
"2003";"43.8279005842, 4.55775920877";"30";"30135";"Jonquières-Saint-Vincent";"36";"91";"NaN"
"2009";"44.0910913985, 4.50932689497";"30";"30205";"Pougnadoresse";"2";"91";"NaN"
"2010";"43.000904094, 0.731075064686";"31";"31012";"Arbon";"1";"73";"NaN"
"2010";"45.4653754545, 6.14395478368";"73";"73111";"Étable";"6";"82";"NaN"
"2006";"46.0421036287, 6.22183912174";"74";"74120";"Évires";"16";"82";"NaN"
"2003";"46.1818085953, 6.20707666644";"74";"74133";"Gaillard";"149";"82";"NaN"
"2004";"48.3560951211, -1.81258742693";"35";"35233";"Québriac";"26";"53";"NaN"
"2006";"48.2378252875, -2.14354106551";"35";"35234";"Quédillac";"15";"53";"NaN"
"2011";"43.3917705831, 3.64705148296";"34";"34301";"Sète";"509";"91";"NaN"
"2008";"43.7367573026, 3.69220324597";"34";"34343";"Viols-le-Fort";"10";"91";"NaN"
"2008";"48.6400443482, -1.98060627256";"35";"35288";"Saint-Malo";"442";"53";"NaN"
"2013";"48.454941971, -1.43630013291";"35";"35303";"Saint-Ouen-la-Rouërie";"6";"53";"NaN"
"2008";"48.0335297683, -1.94037369583";"35";"35319";"Saint-Thurial";"38";"53";"NaN"
"2011";"48.1171829255, -1.74956473355";"35";"35353";"Vezin-le-Coquet";"38";"53";"NaN"
"2012";"46.8459784921, 1.08124698726";"36";"36010";"Azay-le-Ferron";"5";"24";"NaN"
"2006";"46.9735557689, 1.35589306474";"36";"36243";"Villegouin";"4";"24";"NaN"
"2008";"47.5537288182, 0.360356955229";"37";"37084";"Couesmes";"8";"24";"NaN"
"2013";"47.9428950804, -1.50038718382";"35";"35136";"Janzé";"98";"53";"NaN"
"2013";"48.293087363, -1.12955612436";"35";"35163";"Luitré";"18";"53";"NaN"
"2011";"47.8302948158, -1.676495072179999";"35";"35012";"Bain-de-Bretagne";"96";"53";"NaN"
"2005";"47.9563331223, -1.95993951204";"35";"35035";"Bovel";"7";"53";"NaN"
"2012";"47.9399419517, -2.00815901738";"35";"35048";"Campel";"4";"53";"NaN"
"2010";"49.592445598, -1.39477640051";"50";"50593";"Teurthéville-Bocage";"9";"25";"NaN"
"2005";"48.8444141467, -1.55122744214";"50";"50647";"Yquelon";"5";"25";"NaN"
"2012";"49.1972757573, 4.41096827282";"51";"51019";"Aubérive";"5";"21";"NaN"
"2009";"49.125456085, 3.85394695704";"51";"51048";"Belval-sous-Châtillon";"1";"21";"NaN"
"2005";"49.2198739552, 3.99051364265";"51";"51058";"Bezannes";"5";"21";"NaN"
"2004";"49.1346852772, -1.35267057421";"50";"50308";"Le Mesnilbus";"4";"25";"NaN"
"2009";"49.1423322166, -1.07833436341";"50";"50321";"Le Mesnil-Rouxelin";"5";"25";"NaN"
"2008";"49.633412156, -1.63390160204";"50";"50129";"Cherbourg-Octeville";"482";"25";"NaN"
"2005";"49.4868620024, -1.69704450555";"50";"50418";"Quettetot";"9";"25";"NaN"
"2010";"49.3317884523, -1.67378144777";"50";"50503";"Saint-Lô-d'Ourville";"4";"25";"NaN"
"2006";"49.5728877751, -1.4894487737";"50";"50567";"Saussemesnil";"11";"25";"NaN"
"2005";"48.8085201444, -1.401972508";"50";"50247";"Hocquigny";"0";"25";"NaN"
"2006";"48.8085201444, -1.401972508";"50";"50247";"Hocquigny";"5";"25";"NaN"
"2008";"48.7435589691, 4.92012319388";"51";"51144";"Cheminon";"11";"21";"NaN"
"2013";"43.1694074655, 0.2540513635";"65";"65353";"Ozon";"1";"73";"NaN"
"2011";"42.6518506927, 2.83475138204";"66";"66038";"Canohès";"48";"91";"NaN"
"2012";"43.4423563274, -0.199025557867";"64";"64361";"Lussagnet-Lusson";"3";"72";"NaN"
"2012";"43.2702297083, -0.307769641145";"64";"64376";"Meillon";"10";"72";"NaN"
"2003";"43.3651274671, -0.350467486959999";"64";"64399";"Montardon";"17";"72";"NaN"
"2006";"43.5244222238, -0.355722297241";"64";"64456";"Pouliacq";"0";"72";"NaN"
"2004";"43.1520020024, 0.163133431927";"65";"65222";"Hitte";"2";"73";"NaN"
"2004";"44.096935134, 6.14456451427";"04";"04047";"Champtercier";"6";"93";"NaN"
"2007";"47.4594591063, 3.66121368079";"89";"89071";"Chamoux";"2";"26";"NaN"
"2003";"47.6788573234, 6.95039773409";"90";"90067";"Menoncourt";"3";"43";"NaN"
"2004";"47.764269044, 3.89097240309";"89";"89303";"Poilly-sur-Serein";"5";"26";"NaN"
"2008";"47.8795029889, 6.76927057164";"88";"88468";"Le Thillot";"27";"41";"NaN"
"2013";"48.3215627677, 5.87101635049";"88";"88514";"Viocourt";"1";"41";"NaN"
"2006";"49.1000437966, 2.49906495383";"95";"95250";"Fosses";"147";"11";"NaN"
"2012";"16.311751596, -61.0526890523";"971";"97110";"La Désirade";"10";"01";"NaN"
"2007";"14.4855423973, -60.9451190973";"972";"97227";"Sainte-Luce";"117";"02";"NaN"
"2012";"-21.1925353922, 55.7545224725";"974";"97419";"Sainte-Rose";"98";"04";"NaN"
"2008";"48.3569089853, 2.40696147299";"91";"91121";"Buno-Bonnevaux";"4";"11";"NaN"
"2010";"46.3291248847, 3.21707091921";"03";"03038";"Bransat";"3";"83";"NaN"
"2009";"46.4866887035, 3.01543389624";"03";"03238";"Saint-Hilaire";"5";"83";"NaN"
"2003";"48.2461425886, 4.46090923858";"10";"10401";"Vendeuvre-sur-Barse";"30";"21";"NaN"
"2006";"48.0675064407, 4.04451121185";"10";"10201";"La Loge-Pomblin";"2";"21";"NaN"
"2010";"42.7082898185, 1.55315444474";"09";"09295";"Siguer";"0";"73";"NaN"
"2013";"43.2032906079, 1.43351747814";"09";"09338";"Villeneuve-du-Latou";"2";"73";"NaN"
"2012";"48.4485130831, 4.25845008745";"10";"10021";"Avant-lès-Ramerupt";"4";"21";"NaN"
"2005";"48.0778186819, 3.82587613771";"10";"10107";"Coursan-en-Othe";"2";"21";"NaN"
"2010";"43.0692744925, 1.34937176896";"09";"09181";"Le Mas-d'Azil";"10";"73";"NaN"
"2011";"49.344933293, 2.30785725358";"60";"60317";"Hondainville";"7";"22";"NaN"
"2011";"49.3300766734, 2.46523634953";"60";"60360";"Liancourt";"97";"22";"NaN"
"2007";"49.4277052907, 1.986751589819999";"60";"60591";"Saint-Paul";"11";"22";"NaN"
"2008";"49.6978592083, 2.88427490672";"60";"60621";"Solente";"0";"22";"NaN"
"2005";"45.6352746305, 4.24093173504";"42";"42149";"Montrond-les-Bains";"45";"82";"NaN"
"2009";"49.4661009452, 3.59365333616";"02";"02183";"Chevregny";"2";"22";"NaN"
"2008";"46.0404897361, 4.14491926088";"42";"42170";"Perreux";"21";"82";"NaN"
"2013";"45.3763346252, 4.1143178936";"42";"42192";"Rozier-Côtes-d'Aurec";"5";"82";"NaN"
"2005";"47.8716770852, 1.29829930078";"41";"41273";"Vievy-le-Rayé";"1";"24";"NaN"
"2003";"45.3634716974, 3.81088454906";"43";"43196";"Saint-Jean-d'Aubrigoux";"1";"83";"NaN"
"2006";"47.3800629578, -2.07409913989";"44";"44013";"Besné";"43";"52";"NaN"
"2004";"46.1624812464, 4.12649769645";"42";"42267";"Saint-Nizier-sous-Charlieu";"11";"82";"NaN"
"2012";"49.7871481245, 3.79203868186";"02";"02823";"Voharies";"0";"22";"NaN"
"2007";"46.3670864602, 2.41001210443";"03";"03005";"Archignat";"6";"83";"NaN"
"2006";"49.9508154668, 3.25861980976";"02";"02539";"Nauroy";"13";"22";"NaN"
"2006";"47.7595620628, -1.11116254411";"49";"49088";"Chazé-Henry";"16";"52";"NaN"
"2005";"44.0855039631, 2.83906955497";"12";"12296";"Viala-du-Tarn";"1";"73";"NaN"
"2007";"46.6348166525, 3.66797467464";"03";"03120";"Garnat-sur-Engièvre";"9";"83";"NaN"
"2008";"46.0577534847, 3.7219179861000002";"03";"03224";"Saint-Clément";"3";"83";"NaN"
"2013";"44.1791526825, 2.02109386002";"12";"12210";"Saint-André-de-Najac";"2";"73";"NaN"
"2011";"46.5340787528, 2.8385482758";"03";"03150";"Louroux-Bourbonnais";"0";"83";"NaN"
"2005";"49.2140427905, -0.260172250622";"14";"14328";"Hérouvillette";"9";"25";"NaN"
"2005";"48.9244622578, 3.45003603667";"02";"02664";"Rozoy-Bellevalle";"0";"22";"NaN"
"2009";"49.3669899516, -0.901543572921999";"14";"14745";"Vierville-sur-Mer";"1";"25";"NaN"
"2007";"48.5128918959, 4.20166023679";"10";"10354";"Saint-Nabord-sur-Aube";"3";"21";"NaN"
"2011";"49.0219120469, -0.850433727124";"14";"14636";"Saint-Ouen-des-Besaces";"6";"25";"NaN"
"2010";"48.4446677907, 3.63034199913";"10";"10347";"Saint-Loup-de-Buffigny";"5";"21";"NaN"
"2011";"50.7236925633, 1.93553476901";"62";"62308";"Escoeuilles";"6";"31";"NaN"
"2009";"43.0023566445, 1.6795837904000002";"09";"09137";"Gudas";"2";"73";"NaN"
"2006";"47.9530607748, 4.07447909576";"10";"10087";"Chaserey";"1";"21";"NaN"
"2007";"43.0023566445, 1.6795837904000002";"09";"09137";"Gudas";"2";"73";"NaN"
"2007";"43.0297699245, 2.23528266508";"11";"11105";"Cournanel";"5";"91";"NaN"
"2007";"42.9675623246, 1.87181602964";"09";"09157";"Laroque-d'Olmes";"22";"73";"NaN"
"2011";"48.3358644177, 4.20667057813";"10";"10239";"Mesnil-Sellières";"7";"21";"NaN"
"2012";"50.3737414142, 1.90925846468";"62";"62382";"Gouy-Saint-André";"9";"31";"NaN"
"2008";"43.0291058072, 2.09555791235";"11";"11039";"La Bezole";"0";"91";"NaN"
"2010";"48.8236353401, -3.1817520424";"22";"22085";"Kerbors";"4";"53";"NaN"
"2012";"42.8659061967, 1.77079235235";"09";"09206";"Montferrier";"1";"73";"NaN"
"2012";"48.395565383, 4.03305791455";"10";"10230";"Mergey";"5";"21";"NaN"
"2003";"50.8407555351, 1.89853626716";"62";"62203";"Campagne-lès-Guines";"2";"31";"NaN"
"2013";"44.3944148302, 2.33164860958";"12";"12024";"Belcastel";"0";"73";"NaN"
"2013";"48.5504593394, -2.860446580949999";"22";"22367";"Tréméloir";"16";"53";"NaN"
"2005";"44.5034642584, 2.17991482623";"12";"12108";"Galgan";"4";"73";"NaN"
"2013";"47.3434622037, 4.57522013121";"21";"21649";"Uncey-le-Franc";"0";"26";"NaN"
"2007";"44.1937884405, 2.58717278711";"12";"12255";"Salmiech";"3";"73";"NaN"
"2006";"47.156020714, 5.40682525494";"21";"21701";"Villers-Rotin";"2";"26";"NaN"
"2005";"43.3618303056, 1.9600540407399991";"11";"11284";"Peyrens";"7";"91";"NaN"
"2010";"48.4414674679, -3.12592291873";"22";"22189";"Plésidy";"10";"53";"NaN"
"2006";"48.8778929255, 1.7191676109";"78";"78565";"Saint-Martin-des-Champs";"4";"11";"NaN"
"2003";"44.6649913736, 1.11317333778";"24";"24039";"Besse";"1";"72";"NaN"
"2009";"46.1263946231, -0.326929907334";"79";"79055";"Brieuil-sur-Chizé";"1";"54";"NaN"
"2009";"49.0102275931, 6.15977287871";"57";"57147";"Coin-sur-Seille";"2";"41";"NaN"
"2005";"48.6376060545, 2.7689913079";"77";"77534";"Yèbles";"6";"11";"NaN"
"2013";"47.3405522044, 6.93117850184";"25";"25591";"Vaufrey";"2";"43";"NaN"
"2003";"48.7975623096, 1.79110153574";"78";"78262";"Galluis";"12";"11";"NaN"
"2004";"47.1453733993, 6.08965365162";"25";"25628";"Villers-sous-Montrond";"2";"43";"NaN"
"2013";"45.8009403071, 5.62087768159";"01";"01116";"Contrevoz";"1";"82";"NaN"
"2006";"47.3558454875, 7.03093441343";"25";"25386";"Montancy";"0";"43";"NaN"
"2008";"45.965147537, 5.50283599885";"01";"01155";"Évosges";"1";"82";"NaN"
"2004";"47.6047054617, -2.59227223671";"56";"56259";"La Trinité-Surzur";"18";"53";"NaN"
"2006";"45.8469686113, 5.25166055884";"01";"01047";"Blyes";"20";"82";"NaN"
"2012";"49.3370255498, 5.2447539057";"55";"55571";"Vilosnes-Haraumont";"7";"41";"NaN"
"2004";"46.1226331853, 4.82243226719";"01";"01295";"Peyzieux-sur-Saône";"7";"82";"NaN"
"2009";"49.2899855727, 6.4826695714";"57";"57235";"Freistroff";"17";"41";"NaN"
